year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
2009,2010,82,PRODUCTION DESIGN,Female,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,White,The Young Victoria,FALSE
2009,2010,82,CINEMATOGRAPHY,Male,Bruno Delbonnel,White,Harry Potter and the Half-Blood Prince,FALSE
2009,2010,82,CINEMATOGRAPHY,Male,Barry Ackroyd,White,The Hurt Locker,FALSE
2009,2010,82,CINEMATOGRAPHY,Male,Robert Richardson,White,Inglourious Basterds,FALSE
2009,2010,82,CINEMATOGRAPHY,Male,Christian Berger,White,The White Ribbon,FALSE
2009,2010,82,COSTUME DESIGN,Female,Janet Patterson,White,Bright Star,FALSE
2009,2010,82,COSTUME DESIGN,Female,Catherine Leterrier,White,Coco before Chanel,FALSE
2009,2010,82,COSTUME DESIGN,Male,Monique Prudhomme,White,The Imaginarium of Doctor Parnassus,FALSE
2009,2010,82,COSTUME DESIGN,Female,Colleen Atwood,White,Nine,FALSE
2009,2010,82,DIRECTING,Male,James Cameron,White,Avatar,FALSE
